,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,121.72,507.53,204.9,223.8,226.42,212.53,169.63,230.75,164.2,142.86,136.01,410.36,1309.77,1593.67,2310.64,2837.95,2962,5076.88,4874.84,6234.87,6470.36,6865.79,6666.77,5152.54,4942.97,4237.29,4064.33
Albania,11.05,331.95,409.64,270.68,163.1,180.6,226.64,168.23,268.74,488.18,317.85,268.53,307.36,349.31,300.94,315.08,324.04,308.63,364.84,357.15,365.07,379.48,349.16,269.98,281.17,333.58,168.53
Algeria,331.65,211.17,374.79,326.31,295.49,295.74,306.88,247.89,419.87,137.98,199.96,198.86,186.12,239.24,316.97,347.38,240.68,395.01,324.83,302.39,201.25,193.35,147.32,203.42,160.62,87.49,157.41
Angola,265.77,277.08,343.59,289.39,447.07,416.42,459.31,354.66,335.27,387.54,302.21,282.73,414.03,493.5,1144.57,414.68,163.52,259.98,369.04,238.94,235.17,192.94,243.61,285.54,235.39,380.06,206.78
Anguilla,3.82,6.29,4.76,4.7,6.55,3.36,2.56,2.57,3.05,2.4,3.52,3.54,0.73,3.95,2.69,4.01,4.42,5.27,3.35,1.4,8.27,0.3,5.04,7.63,..,..,..
Antigua and Barbuda,4.61,7.23,4.67,3,4.16,2.27,3.87,4.35,9.98,10.84,9.88,8.58,13.51,5.63,1.9,8.06,3.28,4.99,6.07,4.26,19.66,15.42,2.09,1.59,2.55,1.49,0.08
Argentina,168.74,273.68,264.44,226.8,146.78,143.12,131.54,102.33,85.54,84.9,60.37,153.24,88.19,107.71,92.08,94.12,110.43,85.81,120,113.67,128.53,95.18,177.76,34.73,48.79,-18.87,2.6
Armenia,..,2.72,22.45,109.46,191.27,217.71,292.28,166.27,194.26,209.24,215.89,211.47,295.22,250.4,256.12,172.62,215.39,351.9,304.43,525.61,342.58,395.5,270.56,280.36,267.43,347.48,326.76
Aruba,29.98,24.97,29.98,24.86,18.26,25.8,19.53,25.07,11.26,-7.38,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Azerbaijan,..,0.3,7.43,23.87,149.04,119.54,96.36,184.06,120.36,171,140.61,230.91,350.81,302.03,175.83,210.9,207.9,226.38,234.64,233.33,161.56,287.47,286.79,-70.83,216.74,69.62,77.5
Bahamas,3.15,2.76,2.7,1.03,0.87,4.26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bahrain,137.5,94.7,80.11,111.43,95.79,99.87,132.32,150.28,199.72,61.88,60.43,70.81,61.58,131.77,58.22,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,2092.76,1880.24,1818.39,1383.26,1742.89,1281.74,1228.07,1012.36,1162.86,1219.49,1174.33,1045,900.55,1397.87,1416.83,1320.43,1222.89,1512.9,2070.9,1237.38,1404.6,1494.68,2154.05,2633.59,2422.64,2570.13,2503.59
Barbados,2.63,2.12,0.03,3.6,1.02,-1.16,4.23,4.32,15.66,-2.13,0.24,-1.15,3.31,19.78,28.81,-2.1,-2.29,17.51,7.12,10.86,16.2,..,..,..,..,..,..
Belarus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,58.01,74.76,85.43,111.14,98.22,136.26,119.8,102.87,107.14,120.61,104.58,-22.31
Belize,30.32,21.77,26.16,31.11,32.17,18.83,21.23,14.12,15.31,47.77,16.29,23.2,23.6,13.18,7.5,12,8.16,22.21,23.85,26.97,25.01,21.92,26.21,51.27,37.56,28.27,34.96
Benin,266.88,265.66,269.04,287.76,256.38,280.56,288.29,221.15,205.23,212.44,244.77,280.42,221.54,301.99,391.79,349.08,400.31,475.29,636.72,677.56,689.27,672.61,507.88,660.2,599.32,430.14,492.89
Bermuda,42.19,-4.72,-5,-4.82,-12.48,-2.08,-4.07,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,46,61.41,56.16,65.15,75.1,73.22,59.52,66.02,56.22,67.16,53.39,60.78,73.4,76.9,78.26,90.1,95.72,103.05,85.08,127.3,131.38,141.22,161.65,136.8,130.64,97.28,51.47
Bolivia,545.44,502.89,666.93,559.93,562.18,712.36,828.4,698.65,634.19,579.54,486.03,747.68,692.75,941.18,788.76,643.35,850.04,475,628.32,711.47,717.69,723.47,661.72,702.3,674.56,791.31,696.45
Bosnia and Herzegovina,0.01,0.01,15.69,70.24,408.57,965.8,851.81,862.05,914.97,1286.24,737.93,640.08,555.78,541.92,686.09,539.89,536.84,599.1,465.01,417.34,511.18,625.78,568.02,521.21,630.2,355.03,445.36
Botswana,145.22,131.07,111.26,129.9,85.18,89.66,74.57,121.62,106.25,60.89,30.62,28.93,37.31,28.05,46.61,48.27,66.61,105.07,723.1,282.35,154.67,118.5,73.07,107.37,99.37,65.54,90.72
Brazil,151.06,161.56,-251.51,207.45,258.96,278.93,278.2,263.05,287.78,130.94,241.07,236.36,215.93,207.58,161.84,192.5,89.94,308.76,452.37,353.69,448.67,821.07,1288.54,1155.73,914.15,1003.15,674.62
British Virgin Islands,5.57,6.02,5.44,3.31,10.98,1.43,1.21,1.87,1.17,2.56,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,3.88,3.62,5.37,5.07,5.26,4.29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Burkina Faso,326.53,419.65,433.38,468.99,433.1,490.45,419.24,369.11,400.12,398.76,179.78,390.94,440.27,540.84,647.38,698.19,900.55,942.72,1000.38,1083.7,1044.62,981.98,1152.32,1045.08,1123.36,996.99,1023.28
Burundi,262.55,256.4,309.28,216.95,311.11,286.95,110.52,56.4,68.75,75.1,93.31,139.25,171.91,227.6,358.82,365.58,432.02,504.55,520.43,575.75,627.61,572.24,524.17,558.83,515.4,366.54,742.13
Cabo Verde,105.28,102,116.48,114.96,119.67,115.73,116.46,111.01,129.77,136.97,94.65,78.06,92.5,145.33,143.78,162.87,139.11,166.05,221.88,196.77,326.98,251.37,245.64,245.16,231.39,152.82,113.36
Cambodia,41.31,89.71,200.52,300.51,313.35,551,416.53,335.44,337.67,277.45,396.39,415.35,486.34,517.29,485.77,538.57,531.4,691.4,744.23,710.96,733.98,792.43,807.69,808.21,802.68,679.04,729.38
Cameroon,444.38,516.26,714.78,543.72,731.41,443.99,411.38,500.06,498.69,434.48,377.16,458.09,605.74,885.63,780.74,416.54,1716.24,1939.9,551.79,643.79,540.23,612.08,597.17,751.96,856.12,663.08,756.46
Cayman Islands,2.99,-0.29,0,-0.46,-1.02,-0.57,-2.03,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,248.89,173.44,177.65,171.74,167.56,167.78,169.13,91.55,120.62,118.76,75.9,76.21,60.01,51.5,110.06,88.97,133.59,180.01,260.37,241.14,260.98,268.77,228.02,202.82,611,486.73,499.66
Chad,310.58,262.31,236.7,223.47,212.29,235.02,295.78,227.96,174.44,187.93,131.33,188.6,229.25,251.99,332.08,386.44,290.73,367.98,441.81,558.33,490.16,457.66,475.13,459.34,391.93,606.65,624.46
Chile,103.54,120.86,131.29,173.97,150.42,156.89,195.7,129.38,106.45,70.02,48.97,59.02,-6.69,80.48,54.4,170.41,99.24,108.68,106.45,79.19,188.54,167.42,128.08,80.56,245.58,54.33,178.37
China (People's Republic of),2032.37,1932.58,3002.03,3218.68,3149.01,3481.07,2655.9,2060.83,2456.88,2407,1749.02,1497.66,1511.52,1361.55,1710.58,1799.29,1272.25,1457.52,1317.73,1153.98,671.89,-602.94,-180.53,-656.55,-947.07,-332.27,-791.08
Chinese Taipei,36.34,3.48,5.93,7.41,6.24,0.22,15.78,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Colombia,88.54,113.39,232.84,84.64,75.57,170.13,188.06,194.17,167.16,302.08,186.65,383.88,442.46,803.19,519.41,625.02,989.8,726.84,976.42,1054.99,673.83,1017.69,764.25,857.49,1224.17,1355.86,1106.67
Comoros,44.88,63.3,47.87,48.62,38.7,41.6,39.2,30.2,40.62,22.09,19.31,27.67,27.58,24.61,25.88,23.14,32,45.05,42.04,50.78,69.91,55.35,101.61,81.23,74.95,65.78,54.61
Congo,217.16,133.27,115,124.36,363.85,126.86,431.29,268.67,64.99,140.54,32.15,73.89,57.13,69.28,115.81,1425.55,258.3,116.32,486.63,283.97,1315.09,261.24,140.13,150.99,106.18,88.8,87.84
Cook Islands,12.14,13.28,17.07,12.51,14.24,13.04,11.27,10.05,8.08,6.02,4.38,4.87,3.77,5.86,8.92,7.88,32.34,9.31,5.72,5.59,13.54,27.31,20.99,15.88,28.11,25.64,22.15
Costa Rica,226.98,174.06,141.88,101.25,77.01,32.09,-10.41,-7.07,18.84,-8.39,13.2,3.14,3.15,29.2,14.87,26.22,22.12,55.15,69.41,106.12,95.07,31.28,28.46,32.82,54.55,111.3,100.72
Cote d'Ivoire,686.4,629.9,755.7,763.63,1593.7,1212.44,964.77,447,967.27,447.78,350.92,186.08,1067.5,253.7,160.71,91.28,247.14,171.08,584.63,2403.01,845.31,1437.71,2908.35,1273.46,925.04,653.06,658.49
Croatia,..,..,0.01,..,109.66,53.28,133.31,40.36,39.38,48.47,65.51,112.13,130.6,120.4,119.66,123.46,196.51,162.91,241.06,168.83,131.55,..,..,..,..,..,..
Cuba,51.81,36.93,24.8,43.9,47.12,63.63,57.22,65.4,80.15,59.39,45.07,54.65,62.11,76.54,99.47,90.14,82.21,96.55,125.51,112.56,132.45,87.28,85.76,99.46,261.54,552.73,2677.75
Cyprus,38.43,39.76,26.17,33.8,44.03,21.43,22.58,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Democratic People's Republic of Korea,7.73,8.62,10.59,14.06,5.66,13.48,25.57,88.43,105.26,200.93,73.55,117.89,264.4,131.14,160.85,87.45,55.18,99.58,206.23,65.22,78.83,118.49,97.87,109.1,153.53,131.43,119.65
Democratic Republic of the Congo,895.79,475.28,268.52,177.82,244.81,194.75,166.16,157.88,127.02,135.51,178.44,246.64,1176.17,5417.03,1919.15,1881.8,2197.24,1348.27,1766.9,2362.35,3483.65,5526.46,2846.17,2584.01,2400.02,2599.04,2107.44
Djibouti,207.01,107.16,112.19,134.43,128.57,105.56,97.08,85.65,80.98,75.15,72.24,59.4,74.1,79.26,64.33,74.17,115.38,112.67,140.82,165.83,132.03,141.4,148.46,149.25,166.11,169.56,185.12
Dominica,19.64,17.63,12.7,8.91,19.59,25,43.13,14.56,19.35,9.93,15.28,19.69,29.6,10.97,29.4,21.11,19.66,19.45,21.38,35.95,32.45,24.44,25.68,20.08,16.29,11.71,8.5
Dominican Republic,101.66,67.72,65.58,-1.26,61.87,119.96,100.11,71.61,118.31,189.83,56.19,106.98,144.96,68.79,84.56,76.06,54.41,124.22,157.07,120.15,176.58,224.74,260.12,146.91,166.21,279.96,176.71
East African Community,..,..,-0.26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Ecuador,159.32,237.47,239.78,234.94,210.9,224.3,251.63,153.46,176.45,148.98,147.21,176.8,223.49,181.85,159.96,232.48,190.68,213.96,229.16,202.47,150.95,164.56,148.06,150.52,165.05,318.16,243.49
Egypt,6065.2,5408.84,3737.7,2485.23,2692.2,2028.07,2193.9,2009.46,1974.14,1620.25,1370.83,1300.39,1308.73,1017.18,1502.84,1046.31,909.03,1138.69,1688.53,982.74,599.16,423.73,1813.43,5512.51,3537.6,2499.43,2130.29
